"id","timestamp","pluvial_flood_intensity","fluvial_flood_intensity","group_state","round_number","group_id"
"171","2024-09-24 10:00:31","0","0","LOGIN","0","74"
"172","2024-09-24 10:02:16","0","0","LOGIN","0","75"
"173","2024-09-24 10:02:52","0","0","LOGIN","0","76"
"174","2024-09-24 10:23:12","0","0","LOGIN","0","73"
"175","2024-09-24 10:30:12","0","0","LOGIN","0","77"
"176","2024-09-24 10:33:37","9","8","SHOW_SUMMARY","1","76"
"177","2024-09-24 10:34:31","7","5","SHOW_SUMMARY","1","73"
"178","2024-09-24 10:35:26","2","3","SHOW_SUMMARY","1","74"
"179","2024-09-24 10:35:41","4","8","SHOW_SUMMARY","1","72"
"180","2024-09-24 10:35:54","3","7","SHOW_SUMMARY","1","75"
"181","2024-09-24 10:57:14","2","8","SHOW_SUMMARY","2","73"
"182","2024-09-24 11:06:37","4","8","SHOW_SUMMARY","2","76"
"183","2024-09-24 11:11:22","4","5","SHOW_SUMMARY","2","72"
"184","2024-09-24 11:12:29","7","10","SHOW_SUMMARY","2","75"
"185","2024-09-24 11:12:47","1","6","SHOW_SUMMARY","2","74"
"186","2024-09-24 11:14:39","6","5","SHOW_SUMMARY","3","73"
"187","2024-09-24 11:24:45","10","10","SHOW_SUMMARY","3","76"
"188","2024-09-24 11:25:28","5","6","SHOW_SUMMARY","3","72"
"189","2024-09-24 11:31:06","3","6","SHOW_SUMMARY","3","74"
"190","2024-09-24 11:42:34","4","5","SHOW_SUMMARY","3","75"
"191","2024-09-24 14:04:55","0","0","LOGIN","0","79"
"192","2024-09-24 14:07:12","0","0","LOGIN","0","80"
"193","2024-09-24 14:16:59","0","0","LOGIN","0","81"
"194","2024-09-24 14:19:24","0","0","LOGIN","0","78"
"195","2024-09-24 14:23:50","9","5","SHOW_SUMMARY","1","81"
"196","2024-09-24 14:24:17","6","6","SHOW_SUMMARY","1","78"
"197","2024-09-24 14:26:14","10","6","SHOW_SUMMARY","1","77"
"198","2024-09-24 14:27:32","9","10","SHOW_SUMMARY","1","80"
"199","2024-09-24 14:30:36","4","7","SHOW_SUMMARY","1","79"
"200","2024-09-24 14:49:06","10","3","SHOW_SUMMARY","2","81"
"201","2024-09-24 14:50:37","9","7","SHOW_SUMMARY","2","78"
"202","2024-09-24 15:01:20","7","6","SHOW_SUMMARY","2","77"
"203","2024-09-24 15:02:01","9","8","SHOW_SUMMARY","2","80"
"204","2024-09-24 15:04:18","8","9","SHOW_SUMMARY","3","78"
"205","2024-09-24 15:06:16","8","9","SHOW_SUMMARY","2","79"
"206","2024-09-24 15:13:44","2","5","SHOW_SUMMARY","3","81"
"207","2024-09-24 15:19:44","6","6","SHOW_SUMMARY","3","77"
"208","2024-09-24 15:25:12","9","10","SHOW_SUMMARY","3","80"
"209","2024-09-24 15:27:29","8","6","SHOW_SUMMARY","3","79"
"213","2024-10-02 14:22:45","0","0","LOGIN","0","84"
"214","2024-10-02 14:22:55","0","0","LOGIN","0","85"
"215","2024-10-02 14:41:18","1","11","SHOW_SUMMARY","1","85"
"216","2024-10-02 14:41:23","8","4","SHOW_SUMMARY","1","84"
"217","2024-10-02 15:08:39","NULL","NULL","NEW_ROUND","2","85"
