"id","bought_in_round","measuretype_id","housegroup_id","used_in_round"
"415","1","127","772","-1"
"416","1","130","772","-1"
"417","1","127","773","-1"
"418","1","130","773","-1"
"419","1","131","798","-1"
"420","1","125","800","-1"
"421","1","126","800","-1"
"422","1","127","800","-1"
"423","1","124","795","-1"
"424","1","130","795","-1"
"425","1","131","808","-1"
"426","1","124","807","-1"
"427","1","131","807","-1"
"428","1","130","790","-1"
"429","1","124","803","-1"
"430","1","130","803","-1"
"431","1","126","804","-1"
"432","1","127","792","-1"
"433","1","130","792","-1"
"434","1","124","794","-1"
"435","1","127","794","-1"
"436","1","126","811","-1"
"437","1","131","811","-1"
"438","1","125","796","-1"
"439","2","130","786","-1"
"440","1","124","812","-1"
"441","1","130","812","-1"
"442","1","124","813","-1"
"443","2","126","780","-1"
"444","1","131","818","-1"
"445","1","126","814","-1"
"446","1","127","814","-1"
"447","2","125","783","-1"
"448","2","125","782","-1"
"449","2","124","782","-1"
"450","2","127","782","-1"
"451","2","127","785","-1"
"452","3","131","844","-1"
"453","3","126","846","-1"
"454","3","125","847","-1"
"455","3","131","848","-1"
"456","3","126","849","-1"
"457","3","130","849","-1"
"458","2","130","827","-1"
"459","2","125","771","-1"
"460","2","126","826","-1"
"461","2","130","794","-1"
"462","2","124","799","-1"
"463","2","131","799","-1"
"464","2","124","800","-1"
"465","2","125","773","-1"
"466","2","124","773","-1"
"467","2","126","773","-1"
"468","2","124","804","-1"
"469","2","125","803","-1"
"470","2","126","803","-1"
"471","2","126","772","-1"
"472","2","131","772","-1"
"473","2","127","795","-1"
"474","2","124","839","-1"
"475","2","130","839","-1"
"476","2","126","793","-1"
"477","2","124","790","-1"
"478","3","131","850","-1"
"479","3","126","852","-1"
"480","3","125","853","-1"
"481","3","131","854","-1"
"482","3","126","855","-1"
"483","3","130","855","-1"
"484","3","131","856","-1"
"485","3","126","858","-1"
"486","3","125","859","-1"
"487","3","131","860","-1"
"488","3","126","861","-1"
"489","3","130","861","-1"
"490","3","124","787","-1"
"491","3","131","788","-1"
"492","3","124","781","-1"
"493","3","131","782","-1"
"494","3","124","786","-1"
"495","3","130","780","-1"
"496","3","124","783","-1"
"497","3","131","862","-1"
"498","3","126","864","-1"
"499","3","125","865","-1"
"500","3","131","866","-1"
"501","3","126","867","-1"
"502","3","130","867","-1"
"503","2","125","812","-1"
"504","2","127","812","-1"
"505","2","125","814","-1"
"506","2","131","814","-1"
"507","3","126","827","-1"
"508","3","131","827","-1"
"509","3","124","850","-1"
"510","2","125","817","-1"
"511","2","131","817","-1"
"512","2","125","816","-1"
"513","2","131","816","-1"
"514","3","131","773","-1"
"515","3","125","799","-1"
"516","3","131","861","-1"
"517","3","131","804","-1"
"518","3","131","868","-1"
"519","3","126","870","-1"
"520","3","125","871","-1"
"521","3","131","872","-1"
"522","3","126","873","-1"
"523","3","130","873","-1"
"524","3","125","795","-1"
"525","3","125","862","-1"
"526","3","124","862","-1"
"527","3","126","862","-1"
"528","3","127","862","-1"
"529","3","130","862","-1"
"530","3","126","812","-1"
"531","3","131","812","-1"
"532","3","126","816","-1"
"533","3","130","814","-1"
"534","3","125","873","-1"
"535","1","124","876","-1"
"536","1","126","881","-1"
"537","1","130","879","-1"
"538","1","131","880","-1"
"539","1","127","875","-1"
"540","1","130","875","-1"
"541","1","124","889","-1"
"542","1","124","891","-1"
"543","1","126","891","-1"
"544","1","124","887","-1"
"545","1","127","887","-1"
"546","1","125","892","-1"
"547","1","124","892","-1"
"548","1","130","906","-1"
"549","1","131","913","-1"
"550","1","125","911","-1"
"551","1","131","907","-1"
"552","1","126","910","-1"
"553","1","131","900","-1"
"554","1","124","897","-1"
"555","1","130","897","-1"
"556","1","125","901","-1"
"557","1","124","898","-1"
"558","1","131","895","-1"
"559","1","124","902","-1"
"560","1","131","902","-1"
"561","1","124","915","-1"
"562","2","125","891","-1"
"563","2","131","891","-1"
"564","2","126","889","-1"
"565","2","125","893","-1"
"566","2","126","888","-1"
"567","1","124","918","-1"
"568","1","124","919","-1"
"569","1","126","919","-1"
"570","1","127","919","-1"
"571","1","131","921","-1"
"572","2","125","887","-1"
"573","2","126","887","-1"
"574","2","130","887","-1"
"575","1","127","920","-1"
"576","2","130","892","-1"
"577","2","130","924","-1"
"578","2","125","881","-1"
"579","2","131","881","-1"
"580","2","130","876","-1"
"581","3","131","944","-1"
"582","3","126","946","-1"
"583","3","125","947","-1"
"584","3","131","948","-1"
"585","3","126","949","-1"
"586","3","130","949","-1"
"587","2","124","926","-1"
"588","2","125","875","-1"
"589","2","124","875","-1"
"590","2","126","875","-1"
"591","2","124","899","-1"
"592","2","125","897","-1"
"593","2","126","897","-1"
"594","2","131","897","-1"
"595","2","126","898","-1"
"596","2","131","898","-1"
"597","3","125","889","-1"
"598","3","131","889","-1"
"599","2","126","895","-1"
"600","2","126","902","-1"
"601","3","131","892","-1"
"602","3","127","892","-1"
"603","2","125","938","-1"
"604","2","131","901","-1"
"605","3","131","955","-1"
"606","3","126","957","-1"
"607","3","125","958","-1"
"608","3","131","959","-1"
"609","3","126","960","-1"
"610","3","130","960","-1"
"611","2","130","905","-1"
"612","2","131","908","-1"
"613","2","131","910","-1"
"614","2","126","911","-1"
"615","2","126","939","-1"
"616","2","131","939","-1"
"617","2","130","939","-1"
"618","2","124","907","-1"
"619","2","126","907","-1"
"620","2","127","907","-1"
"621","2","130","920","-1"
"622","2","130","915","-1"
"623","3","131","961","-1"
"624","3","126","963","-1"
"625","3","125","964","-1"
"626","3","131","965","-1"
"627","3","126","966","-1"
"628","3","130","966","-1"
"629","2","124","914","-1"
"630","2","131","914","-1"
"631","2","130","919","-1"
"632","2","125","918","-1"
"633","2","125","921","-1"
"634","3","131","926","-1"
"635","3","124","881","-1"
"636","3","124","924","-1"
"637","3","127","924","-1"
"638","3","125","876","-1"
"639","3","126","876","-1"
"640","3","131","876","-1"
"641","3","131","875","-1"
"642","3","124","959","-1"
"643","3","130","959","-1"
"644","3","131","967","-1"
"645","3","126","969","-1"
"646","3","125","970","-1"
"647","3","131","971","-1"
"648","3","126","972","-1"
"649","3","130","972","-1"
"650","3","131","973","-1"
"651","3","126","975","-1"
"652","3","125","976","-1"
"653","3","131","977","-1"
"654","3","126","978","-1"
"655","3","130","978","-1"
"656","3","130","970","-1"
"657","3","130","914","-1"
"658","3","126","905","-1"
"659","3","127","918","-1"
"660","3","127","899","-1"
"661","3","124","911","-1"
"662","3","131","911","-1"
"663","3","127","911","-1"
"664","3","130","911","-1"
"665","1","130","996","-1"
"666","1","124","1003","-1"
"667","1","125","1001","-1"
"668","1","124","1001","-1"
"669","1","126","1001","-1"
"670","1","127","1001","-1"
"671","1","130","1001","-1"
"672","1","127","1002","-1"
"673","1","130","1002","-1"
"674","1","124","1006","-1"
